source_node,target_node,weight
413,466,69797
413,464,15212029
413,462,465864
413,459,744639
413,435,1063888
413,427,1344728
413,403,70210
413,372,251104
413,367,12477143
413,354,40452524
413,353,569940
413,345,15553580
413,331,270928
413,289,27215874
413,286,62254794
413,1041,97130579
413,994,1034795041
413,176,1381485
413,882,654192
413,69,142439570
413,741,88863971
414,1015,195408
415,147,6330410
415,58,31752065
416,517,1687296
418,1207,210254
418,1200,1079694
418,388,4552020
418,375,225720
418,1094,235717306
418,290,2705296
418,199,7734672
418,813,226472818
418,73,31432346
421,570,434583565
421,533,1942073
421,482,1135016
421,468,1099652
421,464,15506693
421,459,759063
421,455,425210
421,435,1084496
421,427,1370776
421,407,1288260
421,401,3112874
421,393,98935
421,367,12718831
421,354,41236108
421,343,45683131
421,335,57272419
421,1130,1305100
421,330,2579467
421,329,71551897
421,289,27743058
421,288,526671
421,286,63460698
421,1041,99012043
421,994,1054839497
421,971,101882
421,69,145198690
421,66,6211290018
421,741,90585307
421,4,39071747
422,594,622450
422,1094,237972974
422,290,2731184
422,73,31733134
423,199,7827192
425,307,305150
425,239,4603175
425,43,2063800
425,36,23519500
425,30,13860100
425,26,55780400
425,19,1755250
425,5,4087650
427,570,440777155
427,555,10569531
427,534,47575486
427,482,1151192
427,468,1115324
427,462,481656
427,435,1099952
427,429,540155
427,421,6158621
427,407,1306620
427,401,3157238
427,376,3181150
427,374,7253449
427,367,12900097
427,354,41823796
427,343,46334197
427,330,2616229
427,329,72571639
427,1093,58410611
427,286,64365126
427,1041,100423141
427,994,1069872839
427,176,1428315
427,175,1271179
427,80,467992
427,69,147268030
427,741,91876309
427,4,39628589
428,500,14257964
428,422,497625328
428,380,274394224
428,290,2770016
428,813,231890828
429,376,3196050
430,198,341291860
431,1308,68338067
431,1194,364195
431,349,44238702
431,1128,6550338
431,327,1835629
431,1115,1226195
431,1105,346524
431,1085,789592
431,1067,2050267
431,1059,309889
431,1026,9041949
431,1009,7976948
431,969,100858310
431,891,3473860
431,839,94104540
431,836,7514054
431,99,5871082
431,803,1294293
431,769,167659
431,736,11847328
431,721,40742430
431,716,4519035
431,714,41035079
431,12,246532
431,667,760715
433,434,91943220
434,650,14098924
434,433,113272264
